id,name,category,cuisine,serving,serving_grams,calories,protein,carbs,fat,sugar,source,imageUrl,imageQuery
69,Wantan Mee Dry,Noodles,Chinese Malaysian,1 plate,420.0,538.0,22.0,72.0,18.0,7.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?wantan%20mee%20dry%20chinese%20malaysian%20food,wantan mee dry chinese malaysian food
70,Wantan Mee Soup,Noodles,Chinese Malaysian,1 bowl,480.0,476.0,22.0,70.0,12.0,5.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?soup%20bowl,soup bowl
71,Hokkien Mee,Noodles,Chinese Malaysian,1 plate,420.0,616.0,22.0,78.0,24.0,8.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?hokkien%20mee%20chinese%20malaysian%20food,hokkien mee chinese malaysian food
72,Prawn Mee,Noodles,Chinese Malaysian,1 bowl,520.0,522.0,25.0,74.0,14.0,6.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?prawn%20mee%20chinese%20malaysian%20food,prawn mee chinese malaysian food
73,Mee Kolok,Noodles,Sarawak Malaysia,1 bowl,430.0,538.0,22.0,72.0,18.0,4.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?mee%20kolok%20sarawak%20malaysia%20food,mee kolok sarawak malaysia food
74,Mee Soto,Noodles,Malaysia,1 bowl,520.0,528.0,24.0,72.0,16.0,4.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?mee%20soto%20malaysia%20food,mee soto malaysia food
75,Bihun Sup,Noodles,Malaysia,1 bowl,500.0,458.0,22.0,70.0,10.0,4.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?soup%20bowl,soup bowl
76,Bihun Tom Yam,Noodles,Thai/Malaysia,1 bowl,520.0,484.0,24.0,70.0,12.0,8.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?bihun%20tom%20yam%20thai/malaysia%20food,bihun tom yam thai/malaysia food
77,Yee Mee Soup,Noodles,Chinese Malaysian,1 bowl,500.0,540.0,20.0,70.0,20.0,5.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?soup%20bowl,soup bowl
78,Ramen Curry,Noodles,Japanese/Malaysia,1 bowl,560.0,606.0,24.0,78.0,22.0,7.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?ramen%20curry%20japanese/malaysia%20food,ramen curry japanese/malaysia food
79,Spaghetti Bolognese,Noodles,Western,1 plate,420.0,546.0,24.0,72.0,18.0,10.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?pasta%20dish,pasta dish
80,Spaghetti Carbonara,Noodles,Western,1 plate,420.0,656.0,22.0,70.0,32.0,5.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?pasta%20dish,pasta dish
81,Lasagna,Fast Food,Western,1 slice,300.0,480.0,24.0,42.0,24.0,8.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?lasagna%20western%20food,lasagna western food
82,Roti Telur,Roti,Indian Malaysian,1 piece with dhal,220.0,424.0,15.0,46.0,20.0,2.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?egg%20food,egg food
83,Roti Planta,Roti,Indian Malaysian,1 piece,170.0,394.0,7.0,42.0,22.0,8.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?roti%20planta%20indian%20malaysian%20food,roti planta indian malaysian food
84,Roti Tisu,Roti,Indian Malaysian,1 cone,160.0,424.0,8.0,62.0,16.0,18.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?roti%20tisu%20indian%20malaysian%20food,roti tisu indian malaysian food
85,Roti Bom,Roti,Indian Malaysian,1 piece,170.0,444.0,7.0,50.0,24.0,16.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?roti%20bom%20indian%20malaysian%20food,roti bom indian malaysian food
86,Roti Bawang,Roti,Indian Malaysian,1 piece with dhal,190.0,364.0,10.0,45.0,16.0,3.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?roti%20bawang%20indian%20malaysian%20food,roti bawang indian malaysian food
87,Roti Sardin,Roti,Indian Malaysian,1 piece,250.0,484.0,19.0,48.0,24.0,5.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?roti%20sardin%20indian%20malaysian%20food,roti sardin indian malaysian food
88,Roti Cheese,Roti,Indian Malaysian,1 piece,210.0,448.0,14.0,44.0,24.0,3.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?roti%20cheese%20indian%20malaysian%20food,roti cheese indian malaysian food
89,Murtabak Ayam,Roti,Indian Malaysian,1 piece,350.0,650.0,28.0,58.0,34.0,5.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?chicken%20dish,chicken dish
90,Murtabak Daging,Roti,Indian Malaysian,1 piece,360.0,676.0,30.0,58.0,36.0,5.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?beef%20dish,beef dish
91,Chapati,Roti,Indian Malaysian,1 piece with dhal,160.0,230.0,8.0,36.0,6.0,2.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?chapati%20indian%20malaysian%20food,chapati indian malaysian food
92,Tosai,Roti,Indian Malaysian,1 piece with chutney,180.0,261.0,8.0,46.0,5.0,2.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?tosai%20indian%20malaysian%20food,tosai indian malaysian food
93,Masala Tosai,Roti,Indian Malaysian,1 piece,280.0,370.0,10.0,60.0,10.0,4.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?masala%20tosai%20indian%20malaysian%20food,masala tosai indian malaysian food
94,Idli,Snacks,Indian Malaysian,3 pieces with chutney,180.0,235.0,8.0,44.0,3.0,2.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?idli%20indian%20malaysian%20food,idli indian malaysian food
95,Naan Plain,Roti,Indian Malaysian,1 piece,150.0,296.0,8.0,48.0,8.0,3.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?naan%20plain%20indian%20malaysian%20food,naan plain indian malaysian food
96,Naan Cheese,Roti,Indian Malaysian,1 piece,180.0,410.0,14.0,48.0,18.0,3.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?naan%20cheese%20indian%20malaysian%20food,naan cheese indian malaysian food
97,Poori,Roti,Indian Malaysian,2 pieces,140.0,332.0,7.0,40.0,16.0,2.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?poori%20indian%20malaysian%20food,poori indian malaysian food
98,Thosai Ghee,Roti,Indian Malaysian,1 piece,200.0,314.0,8.0,48.0,10.0,2.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?thosai%20ghee%20indian%20malaysian%20food,thosai ghee indian malaysian food
99,Appam,Roti,Indian Malaysian,1 piece,100.0,163.0,4.0,30.0,3.0,8.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?appam%20indian%20malaysian%20food,appam indian malaysian food
100,Kaya Toast Set,Roti,Malaysia,2 slices + eggs,230.0,458.0,20.0,54.0,18.0,24.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?kaya%20toast,kaya toast
101,Roti John,Fast Food,Malaysia,1 piece,280.0,548.0,22.0,52.0,28.0,9.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?roti%20john%20malaysia%20food,roti john malaysia food
102,Ayam Goreng,Protein,Malaysia,1 piece,150.0,306.0,28.0,8.0,18.0,1.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?chicken%20dish,chicken dish
103,Ayam Goreng Berempah,Protein,Malaysia,1 piece,170.0,376.0,30.0,10.0,24.0,1.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?chicken%20dish,chicken dish
104,Ayam Bakar,Protein,Malaysia,1 piece,160.0,252.0,32.0,4.0,12.0,2.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?chicken%20dish,chicken dish
105,Ayam Percik,Protein,Malaysia,1 piece,180.0,376.0,32.0,8.0,24.0,6.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?chicken%20dish,chicken dish
106,Ayam Masak Merah,Protein,Malaysia,1 serving,180.0,366.0,30.0,12.0,22.0,8.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?chicken%20dish,chicken dish
107,Ayam Kari,Protein,Malaysia,1 serving,200.0,368.0,28.0,10.0,24.0,4.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?chicken%20dish,chicken dish
108,Ayam Rendang,Protein,Malaysia,1 serving,180.0,378.0,28.0,8.0,26.0,4.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?chicken%20dish,chicken dish
109,Daging Rendang,Protein,Malaysia,1 serving,170.0,404.0,30.0,8.0,28.0,4.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?beef%20dish,beef dish
110,Daging Masak Hitam,Protein,Malaysia,1 serving,170.0,384.0,30.0,12.0,24.0,8.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?beef%20dish,beef dish
111,Daging Masak Kicap,Protein,Malaysia,1 serving,170.0,340.0,30.0,10.0,20.0,8.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?beef%20dish,beef dish
112,Kambing Kari,Protein,Indian Malaysian,1 serving,200.0,430.0,30.0,10.0,30.0,4.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?mutton%20dish,mutton dish
113,Ikan Bakar,Seafood,Malaysia,1 fish,220.0,284.0,42.0,2.0,12.0,1.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?fish%20dish,fish dish
114,Ikan Goreng,Seafood,Malaysia,1 fish,180.0,348.0,34.0,8.0,20.0,1.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?fish%20dish,fish dish
115,Asam Pedas Ikan,Seafood,Malaysia,1 bowl,300.0,258.0,32.0,10.0,10.0,6.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?fish%20dish,fish dish
116,Sambal Sotong,Seafood,Malaysia,1 serving,180.0,302.0,30.0,14.0,14.0,8.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?sambal%20sauce,sambal sauce
117,Udang Sambal,Seafood,Malaysia,1 serving,170.0,286.0,28.0,12.0,14.0,8.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?sambal%20sauce,sambal sauce
118,Sotong Goreng Tepung,Seafood,Malaysia,1 plate,220.0,464.0,28.0,34.0,24.0,3.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?sotong%20goreng%20tepung%20malaysia%20food,sotong goreng tepung malaysia food
119,Ikan Masak Lemak,Seafood,Malaysia,1 serving,220.0,358.0,32.0,8.0,22.0,4.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?fish%20dish,fish dish
120,Telur Rebus,Protein,Malaysia,1 egg,50.0,73.0,6.0,1.0,5.0,0.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?egg%20food,egg food
121,Telur Goreng,Protein,Malaysia,1 egg,60.0,109.0,6.0,1.0,9.0,0.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?egg%20food,egg food
122,Telur Dadar,Protein,Malaysia,1 omelette,90.0,186.0,12.0,3.0,14.0,1.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?egg%20food,egg food
123,Tauhu Goreng,Protein,Malaysia,2 pieces,120.0,222.0,12.0,12.0,14.0,2.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?tofu%20dish,tofu dish
124,Tempeh Goreng,Protein,Indonesia/Malaysia,4 pieces,120.0,272.0,18.0,14.0,16.0,1.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?tempeh,tempeh
125,Sambal Tempeh,Protein,Malaysia,1 serving,150.0,322.0,18.0,22.0,18.0,8.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?tempeh,tempeh
126,Otak Otak,Snacks,Malaysia,5 pieces,120.0,244.0,18.0,16.0,12.0,5.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?otak%20otak%20malaysia%20food,otak otak malaysia food
127,Satay Ayam,Protein,Malaysia,10 sticks with sauce,250.0,636.0,42.0,36.0,36.0,10.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?satay%20skewers,satay skewers
128,Satay Daging,Protein,Malaysia,10 sticks with sauce,250.0,676.0,45.0,34.0,40.0,10.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?satay%20skewers,satay skewers
129,Satay Kambing,Protein,Malaysia,10 sticks with sauce,250.0,710.0,42.0,32.0,46.0,10.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?satay%20skewers,satay skewers
130,Sup Ayam,Soup,Malaysia,1 bowl,350.0,250.0,28.0,12.0,10.0,3.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?soup%20bowl,soup bowl
131,Sup Daging,Soup,Malaysia,1 bowl,350.0,294.0,30.0,12.0,14.0,3.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?soup%20bowl,soup bowl
132,Bak Kut Teh,Soup,Chinese Malaysian,1 bowl,420.0,448.0,35.0,14.0,28.0,4.0,estimated_curated_standard_portion,https://source.unsplash.com/800x600/?teh%20tarik,teh tarik
